epsilon,delta,p,threshold,per_token_zero_cca,conditional_ab,counterfactual_ab,rollout_min_epsilon_delta0,theorem43_path_lower_bound
0.0,0.0,0.5,1.0,True,1.0,0.5,inf,0.6931471805599453
0.0,0.01,0.495,0.99,True,1.0,0.495,inf,0.7031975164134467
0.0,0.2,0.4,0.8,True,1.0,0.4,inf,0.916290731874155
0.0,0.5,0.25,0.5,True,1.0,0.25,inf,1.3862943611198906
0.0,0.9,0.04999999999999999,0.09999999999999998,True,1.0,0.04999999999999999,inf,2.9957322735539913
0.0,0.99,0.0050000000000000044,0.010000000000000009,True,1.0,0.0050000000000000044,inf,5.298317366548035
0.125,0.0,0.4412484512922977,0.8824969025845955,True,1.0,0.4412484512922977,inf,0.8181471805599453
0.125,0.01,0.43683596677937475,0.8736719335587495,True,1.0,0.43683596677937475,inf,0.8281975164134467
0.125,0.2,0.3529987610338382,0.7059975220676764,True,1.0,0.3529987610338382,inf,1.0412907318741549
0.125,0.5,0.22062422564614886,0.4412484512922977,True,1.0,0.22062422564614886,inf,1.5112943611198906
0.125,0.9,0.04412484512922976,0.08824969025845952,True,1.0,0.04412484512922976,inf,3.1207322735539913
0.125,0.99,0.004412484512922981,0.008824969025845963,True,1.0,0.004412484512922981,inf,5.423317366548035
0.5,0.0,0.3032653298563167,0.6065306597126334,True,1.0,0.3032653298563167,inf,1.1931471805599454
0.5,0.01,0.30023267655775354,0.6004653531155071,True,1.0,0.30023267655775354,inf,1.2031975164134467
0.5,0.2,0.2426122638850534,0.4852245277701068,True,1.0,0.2426122638850534,inf,1.416290731874155
0.5,0.5,0.15163266492815836,0.3032653298563167,True,1.0,0.15163266492815836,inf,1.8862943611198906
0.5,0.9,0.030326532985631663,0.060653065971263326,True,1.0,0.030326532985631663,inf,3.4957322735539913
0.5,0.99,0.00303265329856317,0.00606530659712634,True,1.0,0.00303265329856317,inf,5.798317366548035
1.0,0.0,0.18393972058572117,0.36787944117144233,True,1.0,0.18393972058572117,inf,1.6931471805599452
1.0,0.01,0.18210032337986395,0.3642006467597279,True,1.0,0.18210032337986395,inf,1.7031975164134467
1.0,0.2,0.14715177646857694,0.2943035529371539,True,1.0,0.14715177646857694,inf,1.9162907318741549
1.0,0.5,0.09196986029286058,0.18393972058572117,True,1.0,0.09196986029286058,inf,2.386294361119891
1.0,0.9,0.018393972058572114,0.03678794411714423,True,1.0,0.018393972058572114,inf,3.9957322735539913
1.0,0.99,0.0018393972058572132,0.0036787944117144264,True,1.0,0.0018393972058572132,inf,6.298317366548035
2.0,0.0,0.06766764161830635,0.1353352832366127,True,1.0,0.06766764161830635,inf,2.6931471805599454
2.0,0.01,0.06699096520212329,0.13398193040424658,True,1.0,0.06699096520212329,inf,2.7031975164134465
2.0,0.2,0.054134113294645084,0.10826822658929017,True,1.0,0.054134113294645084,inf,2.916290731874155
2.0,0.5,0.033833820809153176,0.06766764161830635,True,1.0,0.033833820809153176,inf,3.3862943611198904
2.0,0.9,0.006766764161830634,0.013533528323661267,True,1.0,0.006766764161830634,inf,4.995732273553991
2.0,0.99,0.0006766764161830641,0.0013533528323661282,True,1.0,0.0006766764161830641,inf,7.298317366548035
4.0,0.0,0.00915781944436709,0.01831563888873418,True,1.0,0.00915781944436709,inf,4.693147180559945
4.0,0.01,0.009066241249923418,0.018132482499846836,True,1.0,0.009066241249923418,inf,4.7031975164134465
4.0,0.2,0.007326255555493672,0.014652511110987344,True,1.0,0.007326255555493672,inf,4.916290731874155
4.0,0.5,0.004578909722183545,0.00915781944436709,True,1.0,0.004578909722183545,inf,5.386294361119891
4.0,0.9,0.0009157819444367087,0.0018315638888734174,True,1.0,0.0009157819444367087,inf,6.995732273553991
4.0,0.99,9.157819444367097e-05,0.00018315638888734194,True,1.0,9.157819444367097e-05,inf,9.298317366548035
8.0,0.0,0.00016773131395125593,0.00033546262790251185,True,1.0,0.00016773131395125593,inf,8.693147180559945
8.0,0.01,0.00016605400081174337,0.00033210800162348673,True,1.0,0.00016605400081174337,inf,8.703197516413447
8.0,0.2,0.00013418505116100476,0.0002683701023220095,True,1.0,0.00013418505116100476,inf,8.916290731874154
8.0,0.5,8.386565697562796e-05,0.00016773131395125593,True,1.0,8.386565697562796e-05,inf,9.38629436111989
8.0,0.9,1.6773131395125588e-05,3.3546262790251176e-05,True,1.0,1.6773131395125588e-05,inf,10.99573227355399
8.0,0.99,1.6773131395125607e-06,3.3546262790251215e-06,True,1.0,1.6773131395125607e-06,inf,13.298317366548035
